file_name,side_chain_count,n_residues,n_unique_side_chains
pdb6gov.ent,33937,1394,28
pdb7asa.ent,6944,619,24
pdb6icz.ent,93585,2347,24
pdb7mjy.ent,3658,448,23
pdb3v6y.ent,3241,404,24
pdb8w2o.ent,24817,627,24
pdb2uub.ent,36761,1513,24
pdb4fsj.ent,7531,350,23
pdb8gwb.ent,21334,929,24
pdb4frn.ent,2324,102,4
pdb4c4w.ent,5664,117,23
pdb6ufg.ent,2715,165,4
pdb8gzr.ent,10907,885,24
pdb7oi6.ent,56676,1330,24
pdb8bf9.ent,36842,1947,25
pdb8bf8.ent,3576,409,24
pdb6uej.ent,1679,213,22
pdb7oi7.ent,78575,1176,24
pdb4z92.ent,5345,280,22
pdb4znp.ent,1604,73,4
pdb4xw1.ent,84,8,3
pdb6gv4.ent,13931,290,23
pdb6wpi.ent,5245,588,24
pdb7xg1.ent,15597,346,24
pdb6e9e.ent,7652,914,24
pdb7odf.ent,6095,710,28
pdb7oeb.ent,11618,1434,23
pdb7xs4.ent,2627,333,22
pdb5ki6.ent,6510,807,23
pdb5wzg.ent,4282,544,24
pdb5ytt.ent,681,81,22
pdb8exy.ent,24702,1282,28
pdb7d58.ent,40134,1388,27
pdb7opc.ent,63266,1481,29
pdb6g4w.ent,29594,1761,25
pdb1i9v.ent,832,74,4
pdb8gan.ent,26402,589,28
pdb7da7.ent,10925,688,24
pdb4x4v.ent,15840,443,24
pdb6bsj.ent,8184,553,28
pdb8ygj.ent,17150,1348,28
pdb4xbf.ent,12724,671,23
pdb3al0.ent,13096,590,24
pdb8ibz.ent,8472,985,24
pdb4ang.ent,3484,131,22
pdb5www.ent,825,100,22
pdb3amu.ent,4121,407,24
pdb7ki3.ent,13615,828,24
pdb6omv.ent,12539,1218,28
pdb1ond.ent,31875,2765,23
pdb6ol3.ent,2438,111,4
pdb4pmw.ent,22654,705,21
pdb4y1m.ent,2086,107,4
pdb1fka.ent,20180,1498,25
pdb5jbg.ent,5609,661,24
pdb8dp3.ent,4330,228,24
pdb3ndb.ent,5562,421,24
pdb6cc1.ent,2204,100,4
pdb8d2p.ent,10132,1110,28
pdb5a0t.ent,7062,456,23
pdb5ho4.ent,1551,189,24
pdb6az1.ent,59580,1773,24
pdb4rbz.ent,135,10,4
pdb7bv8.ent,61315,2897,24
pdb1jgo.ent,4642,1518,24
pdb6zce.ent,59110,1782,24
pdb8c90.ent,42536,2100,24
pdb7uvt.ent,8549,386,4
pdb8clm.ent,288,9,4
pdb6m6c.ent,24040,1486,28
pdb6jfu.ent,8008,890,28
pdb6fpq.ent,1592,181,23
pdb7lyj.ent,749,66,4
pdb8qp8.ent,32687,2011,24
pdb8jft.ent,10316,1041,24
pdb7y7s.ent,15001,959,28
pdb1dk1.ent,1379,139,21
pdb6xz7.ent,61889,2873,24
pdb5v3f.ent,606,31,4
pdb7wtz.ent,68872,1801,24
pdb8vmb.ent,4275,230,24
pdb7wwv.ent,18530,303,28
pdb7boh.ent,36590,1517,24
pdb8x5v.ent,8773,908,28
pdb8ffy.ent,6774,487,24
pdb6xll.ent,30127,1375,28
pdb5da6.ent,785,32,3
pdb7eem.ent,297,26,4
pdb6a6j.ent,1470,94,21
pdb8why.ent,58332,3018,24
pdb5k36.ent,29638,991,22
pdb6kug.ent,601,77,21
pdb8ey8.ent,784,92,21
pdb9c3i.ent,2728,231,24
pdb7mk9.ent,35242,1477,27
pdb6g4s.ent,32838,1790,25
pdb6rlp.ent,29832,153,20
pdb7sva.ent,6412,803,24
pdb4z7k.ent,3675,218,24
pdb6pvk.ent,38862,2171,24
pdb5btp.ent,1415,64,4
pdb3j3v.ent,56130,2884,24
pdb8kag.ent,12264,1347,24
pdb8eot.ent,24590,1282,28
pdb8its.ent,533,46,4
pdb3vyy.ent,1921,86,21
pdb5y88.ent,68898,2047,24
pdb7oi3.ent,3138,395,21
pdb6r7g.ent,21230,237,21
pdb2y95.ent,3130,14,4
pdb5uza.ent,1509,69,4
pdb4d25.ent,3441,433,23
pdb6ypu.ent,22823,1064,24
pdb5uz6.ent,1041,24,4
pdb7zpi.ent,12570,760,24
pdb7mrl.ent,3292,108,23
pdb6e82.ent,423,36,4
pdb3j3w.ent,49727,2685,24
pdb8bh6.ent,36078,1553,24
pdb7xg4.ent,23486,625,28
pdb8ptg.ent,19950,419,23
pdb6p4h.ent,60375,1971,24
pdb7c07.ent,17931,194,23
pdb7mkn.ent,33485,1376,28
pdb7s4u.ent,10552,1094,28
pdb6gc0.ent,55659,2729,24
pdb6exn.ent,75811,2106,25
pdb5wti.ent,9642,984,28
pdb4x4s.ent,16056,443,24
pdb6rt6.ent,2509,165,21
pdb5nz6.ent,877,39,4
pdb8qg0.ent,5758,427,28
pdb8a40.ent,33384,1477,28
pdb8hio.ent,6209,599,24
pdb5opt.ent,62004,2022,24
pdb4io9.ent,55706,2710,24
pdb8hk1.ent,28703,1302,24
pdb7uo2.ent,4023,271,23
pdb1h2c.ent,1008,128,22
pdb7kd1.ent,1034,89,4
pdb6az4.ent,462,32,4
pdb6oy7.ent,28089,1487,25
pdb8dh0.ent,25208,848,28
pdb7y7r.ent,15133,960,28
pdb8c97.ent,23243,1292,24
pdb6sjd.ent,6062,195,24
pdb6tmf.ent,50488,1485,24
pdb8vt5.ent,646,59,4
pdb6z9q.ent,51569,1404,27
pdb5zsb.ent,12611,779,22
pdb6c6k.ent,8408,466,24
pdb8dfo.ent,23411,572,24
pdb8vma.ent,8604,228,24
pdb6sqn.ent,2857,97,23
pdb4wj3.ent,53005,590,25
pdb4kzy.ent,60369,1840,24
pdb8spo.ent,29749,507,28
pdb6zxh.ent,59445,1676,24
pdb7wwu.ent,18374,303,24
pdb8him.ent,23363,1186,27
pdb3w3s.ent,5409,521,23
pdb6muu.ent,16464,780,24
pdb8ac1.ent,24888,1374,27
pdb6oon.ent,6445,794,22
pdb8acp.ent,25717,1374,28
pdb7ucr.ent,742,27,4
pdb4x4q.ent,16106,443,24
pdb8euy.ent,64058,1461,24
pdb6y3g.ent,771,67,4
pdb5wtk.ent,10207,1215,24
pdb8p6p.ent,39135,1530,24
pdb5yts.ent,641,78,20
pdb4f1n.ent,14228,914,22
pdb7ogm.ent,17193,695,24
pdb6l1w.ent,1786,220,22
pdb6e80.ent,412,35,4
pdb3t5q.ent,14240,317,23
pdb7oi0.ent,19251,969,24
pdb8it1.ent,32140,507,26
pdb5uz4.ent,37923,1532,24
pdb3ccl.ent,62185,2760,24
pdb7xjg.ent,11089,317,28
pdb7mqc.ent,12396,207,21
pdb7syl.ent,60157,1773,24
pdb4xw7.ent,739,64,4
pdb4ji8.ent,36335,1501,24
pdb8uku.ent,28527,1433,28
pdb7jyy.ent,6760,433,22
pdb6e81.ent,425,36,4
pdb9dtt.ent,7603,856,24
pdb6eml.ent,59136,1719,24
pdb4ato.ent,1763,172,23
pdb8p7b.ent,10455,473,24
pdb7ope.ent,63904,2815,24
pdb4qg3.ent,2685,308,23
pdb7d7w.ent,581,51,4
pdb7s4v.ent,10816,1124,28
pdb8g5p.ent,14141,989,27
pdb8urw.ent,29005,1237,27
pdb5wwf.ent,3135,188,23
pdb8g9s.ent,25338,582,24
pdb4x4p.ent,31373,437,24
pdb6whi.ent,21588,434,28
pdb8ewg.ent,9057,1063,24
pdb2jlt.ent,365,18,4
pdb8ac0.ent,26550,1373,28
pdb7rdq.ent,27539,1487,25
pdb8sqj.ent,25034,929,24
pdb7uo1.ent,12029,378,23
pdb5m0h.ent,475,42,4
pdb2cky.ent,1770,77,4
pdb6zym.ent,45851,1747,24
pdb4kzx.ent,59490,1797,24
pdb8ana.ent,57425,2714,24
pdb1a9n.ent,4710,176,23
pdb6o75.ent,7747,728,21
pdb4p8z.ent,2134,188,4
pdb5zsc.ent,12611,779,23
pdb5sze.ent,620,73,19
pdb7yoj.ent,9427,868,28
pdb7eqj.ent,1711,76,4
pdb7y7q.ent,15067,978,24
pdb3eoh.ent,4388,383,4
pdb8vu0.ent,3370,111,21
pdb8xzq.ent,584,52,4
pdb8c96.ent,29464,1475,24
pdb6m6r.ent,1451,173,22
pdb7yci.ent,4491,395,4
pdb5o1y.ent,1355,167,23
pdb8qu1.ent,47295,1410,24
pdb7yey.ent,1352,170,22
pdb5fk2.ent,1094,94,4
pdb7wib.ent,557,49,4
pdb8hzj.ent,800,35,4
pdb5vm9.ent,12857,807,22
pdb8fzr.ent,4941,503,24
pdb6t0w.ent,10306,716,24
pdb6mj0.ent,2266,101,4
pdb5tzs.ent,86171,1552,26
pdb8ost.ent,8263,501,24
pdb8dvs.ent,5770,708,24
pdb4yb1.ent,1794,92,22
pdb8vjt.ent,521,6,2
pdb6tqn.ent,38313,1395,28
pdb5xwy.ent,9983,1121,24
pdb7yp9.ent,23984,1380,28
pdb6h9i.ent,4454,254,24
pdb7r6n.ent,4036,354,4
pdb7m4u.ent,36057,1521,24
pdb5emf.ent,99,8,3
pdb7qr8.ent,12267,1342,28
pdb3foz.ent,6408,311,24
pdb4dv2.ent,36348,1501,24
pdb8pfq.ent,496,22,4
pdb7c7a.ent,24106,858,24
pdb2pxv.ent,1031,110,19
pdb7vyx.ent,21717,1206,27
pdb8wuv.ent,16845,1345,28
pdb6ny3.ent,8628,919,29
pdb7qh6.ent,71534,1618,24
pdb8ppk.ent,60572,1744,24
pdb8rkt.ent,10416,630,28
pdb8wx0.ent,13526,598,24
pdb5i9d.ent,2874,371,20
pdb8iss.ent,8008,518,24
pdb4ce4.ent,50741,1721,26
pdb7f3l.ent,615,78,21
pdb4z31.ent,5185,312,24
pdb7obq.ent,14919,637,25
pdb7qh7.ent,72210,1741,24
pdb8psq.ent,15796,515,24
pdb8g1i.ent,12238,1301,28
pdb8pfg.ent,26969,1375,28
pdb7mlx.ent,3996,226,24
pdb6lt7.ent,4686,148,22
pdb5ud5.ent,2992,86,23
pdb6n7r.ent,29541,666,26
pdb2bh2.ent,7126,447,24
pdb9aur.ent,3588,228,24
pdb5iy9.ent,60162,1485,28
pdb7vti.ent,6467,742,23
pdb7xya.ent,25405,1375,28
pdb6sy4.ent,3338,189,23
pdb2der.ent,7180,362,24
pdb6jvx.ent,756,95,21
pdb8sxt.ent,6182,740,28
pdb8okd.ent,6350,337,24
pdb3wc2.ent,9804,241,24
pdb5tc1.ent,12973,579,24
pdb6ahu.ent,25255,900,24
pdb4yb0.ent,1900,83,4
pdb7eoj.ent,542,48,4
pdb8h7q.ent,22110,299,28
pdb1h4q.ent,8225,466,24
pdb4b5r.ent,1093,94,4
pdb8hud.ent,7628,805,28
pdb8cgj.ent,25172,1163,24
pdb3r2c.ent,7724,138,22
pdb5fke.ent,1091,94,4
pdb8hzk.ent,826,36,4
pdb8sny.ent,13664,1443,23
pdb8j72.ent,4406,286,23
pdb5fk3.ent,1100,94,4
pdb7pli.ent,22013,457,24
pdb8fuk.ent,23009,616,24
pdb7yex.ent,1317,160,22
pdb7uri.ent,1005,71,4
pdb8tju.ent,4654,409,4
pdb8ci5.ent,10255,1269,24
pdb5dqk.ent,1517,48,5
pdb7n3p.ent,6495,591,28
pdb6m0v.ent,9438,1030,28
pdb5fkg.ent,1091,94,4
pdb5fjc.ent,1115,93,4
pdb6joo.ent,7669,823,27
pdb4rdx.ent,4079,421,24
pdb4u7u.ent,53337,491,24
pdb8sa5.ent,3981,210,4
pdb5zwo.ent,85289,2401,24
pdb9g7c.ent,12930,224,4
pdb8jl0.ent,8782,584,28
pdb5t83.ent,1025,90,4
pdb5xxu.ent,52765,1666,24
pdb8csz.ent,6637,494,28
pdb2c50.ent,3201,129,23
pdb5axw.ent,9668,1045,28
pdb6xkn.ent,2100,95,4
pdb4pei.ent,14471,353,22
pdb6fai.ent,67166,1793,24
pdb5de8.ent,990,35,8
pdb7bge.ent,12338,667,24
pdb1hnw.ent,36644,1510,24
pdb7m4v.ent,56722,2724,24
pdb7zag.ent,48362,1453,24
pdb4dv1.ent,36300,1501,24
pdb5k78.ent,14435,362,24
pdb6n5o.ent,1427,125,4
pdb5eme.ent,141,8,3
pdb6w6v.ent,21900,863,24
pdb5kl8.ent,3136,389,22
pdb7zol.ent,15048,1716,24
pdb6g18.ent,67238,1829,24
pdb7x74.ent,30974,1265,27
pdb9dr1.ent,25489,1373,27
pdb3s8u.ent,582,26,4
pdb8umf.ent,13120,1377,28
pdb7tzu.ent,868,79,4
pdb5w1h.ent,11236,1342,24
pdb5i9g.ent,2962,387,21
pdb8u60.ent,1296,36,4
pdb8u5j.ent,429,36,4
pdb5gae.ent,64798,2884,25
pdb5w1i.ent,22324,1341,24
pdb8u5k.ent,1259,36,4
pdb8r3z.ent,6328,761,23
pdb7aoz.ent,31125,1269,26
pdb6wvj.ent,22024,1186,26
pdb3j7y.ent,78740,1959,25
pdb5i4a.ent,10856,637,23
pdb4zdp.ent,15210,459,24
pdb8k3o.ent,34941,1426,24
pdb6n5n.ent,1414,124,4
pdb8uua.ent,60558,2895,24
pdb8ph9.ent,26157,1375,28
pdb7qqw.ent,12085,1327,28
pdb6ybw.ent,40025,1269,24
pdb7r6l.ent,4179,366,6
pdb5z9x.ent,2363,288,24
pdb3pdr.ent,3642,161,4
pdb8qbl.ent,31137,311,28
pdb7pyk.ent,28726,1375,26
pdb6xko.ent,2080,94,4
pdb7ecj.ent,369,11,4
pdb1q82.ent,61688,2887,24
pdb8qlp.ent,30207,507,28
pdb5f0q.ent,3395,199,26
pdb5zwn.ent,28536,637,24
pdb6tfe.ent,1158,52,4
pdb6t3n.ent,4504,394,4
pdb8t29.ent,4323,228,24
pdb6t0u.ent,13946,760,24
pdb5hjz.ent,1793,116,23
pdb8j8h.ent,6516,510,28
pdb8s8j.ent,67657,1788,24
pdb8que.ent,21305,698,27
pdb6m0w.ent,9461,1033,28
pdb5o69.ent,1659,39,4
pdb6vrb.ent,11062,1064,24
pdb5fj4.ent,5771,118,23
pdb8ap4.ent,58960,2728,24
pdb7ygd.ent,4421,387,4
pdb7yg6.ent,5922,735,24
pdb7uq6.ent,1837,85,4
pdb6asx.ent,25680,1373,28
pdb5fj0.ent,675,19,3
pdb6zdq.ent,6325,742,24
pdb1qzb.ent,0,75,4
pdb1mji.ent,3650,178,22
pdb5xon.ent,37379,1477,28
pdb8qz8.ent,22173,512,24
pdb2xo1.ent,722,65,4
pdb7nky.ent,49099,1521,28
pdb8fzt.ent,12488,1321,28
pdb4rgf.ent,1884,56,5
pdb9gus.ent,38707,1528,24
pdb4erj.ent,1869,161,4
pdb6ah3.ent,24210,855,24
pdb6hbx.ent,195,17,4
pdb5zc9.ent,3144,388,22
pdb7r9g.ent,3066,398,24
pdb8dvu.ent,5781,705,24
pdb7eni.ent,10381,1049,24
pdb5vw1.ent,12445,1362,24
pdb4lx6.ent,792,71,4
pdb6f4g.ent,5080,178,22
pdb4kre.ent,6600,808,22
pdb8jtr.ent,9907,1056,24
pdb7eaf.ent,1098,94,4
pdb2deu.ent,7374,368,24
pdb5mmi.ent,64624,2799,24
pdb7u0y.ent,7955,226,24
pdb5ddo.ent,2620,92,22
pdb7yse.ent,15892,688,24
pdb6aeb.ent,23806,1325,28
pdb4kr3.ent,4406,527,24
pdb8fb3.ent,1051,34,4
pdb8uta.ent,9476,228,24
pdb2izm.ent,3181,129,23
pdb5els.ent,5496,120,20
pdb7vtn.ent,6545,725,24
pdb2b2g.ent,3237,160,23
pdb7xwz.ent,2138,128,22
pdb5u3g.ent,1896,84,4
pdb5it9.ent,60369,1972,24
pdb6w7w.ent,18173,871,24
pdb6blo.ent,28016,1436,28
pdb4qu7.ent,2678,85,21
pdb3jcr.ent,9200,2314,24
pdb6ny5.ent,6241,399,23
pdb8k15.ent,5392,470,4
pdb6wub.ent,22739,1147,24
pdb3zjv.ent,7424,813,24
pdb7onu.ent,14245,583,24
pdb8rg0.ent,29826,1027,24
pdb6is0.ent,3821,468,21
pdb1eg0.ent,1466,220,26
pdb8r0s.ent,4018,470,28
pdb7f3j.ent,2942,94,21
pdb7a9x.ent,4313,523,23
pdb7aoh.ent,38788,1264,27
pdb8k0q.ent,12604,542,7
pdb7vnv.ent,1400,60,4
pdb7v9u.ent,7342,312,28
pdb8k28.ent,19610,311,28
pdb6prv.ent,2592,57,4
pdb6w77.ent,32750,1519,24
pdb5u30.ent,10332,1073,27
pdb7d2l.ent,9810,1083,28
pdb6y4b.ent,2121,267,24
pdb5elr.ent,1856,121,20
pdb7ox8.ent,12244,1340,28
pdb8yb6.ent,27147,521,24
pdb6i0v.ent,5749,351,24
pdb7ozq.ent,10500,123,23
pdb8pjb.ent,7722,971,22
pdb4kr2.ent,4304,518,24
pdb5d0a.ent,12182,379,24
pdb8f5g.ent,4466,172,22
pdb2det.ent,3649,368,24
pdb6hau.ent,9167,279,23
pdb6dt8.ent,5504,406,24
pdb3pip.ent,56151,2669,24
pdb7r9f.ent,2833,391,24
pdb7e8o.ent,6911,204,23
pdb5xyu.ent,31319,1411,24
pdb7nkx.ent,47118,1518,28
pdb9gch.ent,10492,384,24
pdb4r0d.ent,7171,617,4
pdb9ey2.ent,15814,774,24
pdb4lck.ent,5062,102,19
pdb6zdp.ent,6284,739,23
pdb6d95.ent,12377,792,28
pdb5ob3.ent,793,69,4
pdb7yg7.ent,37046,418,21
pdb5zx2.ent,24888,1276,28
pdb4nyg.ent,797,78,4
pdb5a8l.ent,8795,757,24
pdb8j62.ent,10068,180,24
pdb1vq6.ent,62224,2882,24
pdb5h3u.ent,10360,672,22
pdb5on2.ent,15562,862,24
pdb9ey0.ent,15980,784,24
pdb8scz.ent,5788,694,24
pdb1c0a.ent,5370,653,24
pdb5mmj.ent,40290,1484,25
pdb7r6k.ent,19023,866,24
pdb4w5n.ent,6645,824,24
pdb4jya.ent,36695,1521,24
pdb2iz8.ent,3216,129,23
pdb6nbj.ent,5930,382,21
pdb6wox.ent,28131,1487,27
pdb2izn.ent,3187,129,23
pdb4fb0.ent,4495,393,4
pdb8y80.ent,32909,585,28
pdb7d0f.ent,12099,743,24
pdb8wav.ent,34631,1529,27
pdb6ppk.ent,52719,2660,24
pdb6wtr.ent,1408,124,4
pdb8wt6.ent,12503,319,28
pdb6wua.ent,11174,606,24
pdb1un6.ent,3299,136,23
pdb8psu.ent,15878,515,24
pdb6rjg.ent,11035,827,28
pdb6yym.ent,2611,160,23
pdb8wus.ent,16504,1332,28
pdb6ny6.ent,37900,1514,24
pdb6las.ent,3333,95,21
pdb8k0s.ent,12452,543,4
pdb5wea.ent,6234,772,22
pdb3zju.ent,7415,820,24
pdb3j80.ent,59856,1779,24
pdb6wyb.ent,6130,739,28
pdb8b6z.ent,3501,450,24
pdb7v4g.ent,5134,217,22
pdb7aav.ent,23988,1731,24
pdb6uc8.ent,753,67,4
pdb8ub8.ent,8869,342,24
pdb3j8g.ent,64970,2874,24
pdb8ipm.ent,2420,287,24
pdb8wt7.ent,12562,319,28
pdb8kgf.ent,10580,1281,24
pdb7v9a.ent,15416,521,24
pdb2bq5.ent,3288,129,23
pdb1eiy.ent,9725,785,24
pdb8waw.ent,34641,1530,27
pdb7xug.ent,25474,1373,27
pdb5iwa.ent,36679,1508,24
pdb7d0g.ent,11827,719,24
pdb7mlj.ent,28101,1488,25
pdb4adv.ent,36649,1414,24
pdb8p03.ent,67777,1783,24
pdb8gkh.ent,6363,637,28
pdb3suh.ent,1153,100,4
pdb2ix1.ent,5260,643,21
pdb7to2.ent,5723,700,24
pdb4dv6.ent,36347,1501,24
pdb8rpz.ent,60449,2900,24
pdb5wqe.ent,8522,996,23
pdb6y53.ent,10328,743,24
pdb6uvn.ent,28886,630,26
pdb2c4r.ent,3669,491,24
pdb5d0b.ent,6095,376,24
pdb5ccx.ent,11115,414,24
pdb7nq4.ent,6180,414,24
pdb8xi2.ent,70651,2067,24
pdb9bkd.ent,57182,1716,24
pdb5awh.ent,12485,777,28
pdb4ycp.ent,3082,308,24
pdb8fn2.ent,61000,2765,24
pdb5dh8.ent,1516,48,5
pdb7pwf.ent,46411,1360,24
pdb6c27.ent,1052,46,4
pdb4u67.ent,55827,2691,24
pdb8tg4.ent,1496,182,21
pdb8joz.ent,2968,257,24
pdb9ey1.ent,16007,784,24
pdb8tdy.ent,165,15,4
pdb8fza.ent,614,30,4
pdb5amq.ent,13996,1666,24
pdb6vrd.ent,1514,169,24
pdb8qu5.ent,78696,1535,25
pdb6chr.ent,7212,621,4
